DATE,LNU02300001
1948-01-01,83.4583333333333333
1949-01-01,81.3250000000000000
1950-01-01,81.9583333333333333
1951-01-01,84.0333333333333333
1952-01-01,83.8750000000000000
1953-01-01,83.6000000000000000
1954-01-01,80.9666666666666667
1955-01-01,81.7916666666666667
1956-01-01,82.2833333333333333
1957-01-01,81.3083333333333333
1958-01-01,78.5083333333333333
1959-01-01,79.3333333333333333
1960-01-01,78.8583333333333333
1961-01-01,77.5583333333333333
1962-01-01,77.7333333333333333
1963-01-01,77.0916666666666667
1964-01-01,77.2833333333333333
1965-01-01,77.5000000000000000
1966-01-01,77.8583333333333333
1967-01-01,77.9500000000000000
1968-01-01,77.7833333333333333
1969-01-01,77.6083333333333333
1970-01-01,76.1833333333333333
1971-01-01,74.9000000000000000
1972-01-01,75.0250000000000000
1973-01-01,75.5416666666666667
1974-01-01,74.8916666666666667
1975-01-01,71.7250000000000000
1976-01-01,72.0500000000000000
1977-01-01,72.7833333333333333
1978-01-01,73.7500000000000000
1979-01-01,73.8333333333333333
1980-01-01,72.0250000000000000
1981-01-01,71.2916666666666667
1982-01-01,69.0166666666666667
1983-01-01,68.8083333333333333
1984-01-01,70.6750000000000000
1985-01-01,70.9166666666666667
1986-01-01,70.9750000000000000
1987-01-01,71.4583333333333333
1988-01-01,72.0250000000000000
1989-01-01,72.4583333333333333
1990-01-01,72.0250000000000000
1991-01-01,70.3500000000000000
1992-01-01,69.8333333333333333
1993-01-01,70.0166666666666667
1994-01-01,70.4166666666666667
1995-01-01,70.7916666666666667
1996-01-01,70.9083333333333333
1997-01-01,71.3166666666666667
1998-01-01,71.5833333333333333
1999-01-01,71.6583333333333333
2000-01-01,71.9000000000000000
2001-01-01,70.8666666666666667
2002-01-01,69.7083333333333333
2003-01-01,68.9000000000000000
2004-01-01,69.1916666666666667
2005-01-01,69.6000000000000000
2006-01-01,70.0583333333333333
2007-01-01,69.7666666666666667
2008-01-01,68.5083333333333333
2009-01-01,64.5416666666666667
2010-01-01,63.7000000000000000
2011-01-01,63.8750000000000000
2012-01-01,64.3833333333333333
2013-01-01,64.3916666666666667
2014-01-01,64.8750000000000000
2015-01-01,65.3416666666666667
2016-01-01,65.7750000000000000
2017-01-01,66.0250000000000000
2018-01-01,.
